id,title,url,published_date,accessed_date,geography,source_type,claim,sample_or_scope,limitations,confidence,company_reported
T01,Wild Women Expeditions FAQ,https://wildwomenexpeditions.com/faq/,undated,2026-09-12,"Canada-owned; international customers including US",operator FAQ,"Addresses holding group back; describes customer ages and paid-adjacent fitness activity; three-month preparation touchpoint and free resources.","Operator-wide qualitative descriptions; no sample counts","US share unknown; self-description; no app payment or prevalence evidence.","High for current published process; low for population inference",true
T02,Croatia Active Adventure,https://wildwomenexpeditions.com/our-trips/croatia-active-adventure/,undated,2026-09-12,"Croatia destination; USD international offer",operator itinerary and offer,"Sept 19–27 2026 offered at USD5995; hiking terrain distance elevation and other physical tasks specified; spring/autumn future departures.",One nine-day itinerary,"Booking closed does not prove sold out; offered price not transaction; not a seasonal market sample.",High for observed offer,true
T03,Adventure Coaching for Women,https://trailblazerwellness.com/adventure-coaching/,undated,2026-09-12,"US coach; virtual international trips",coach service and price page,"Three-session USD339; three-month USD657; six-month USD1083; itinerary-conditioned plans and longer-package packing consultation.",One provider three advertised packages,"No purchase verification or revenue; self-reported ACSM certification; direct rates conflict with partner discount arithmetic.",High for listed offer,true
T04,Training and Adventure Coaching for AdventureWomen,https://trailblazerwellness.com/coaching-adventurewomen/,undated,2026-09-12,"US-linked operator/coach; virtual",partner-specific coach offer,"Lists USD260 three sessions USD537 three months USD887 six months; recommends longer preparation for strenuous trips.",One partner-specific offer,"Undated; nominal 10% discount inconsistent with current direct-page prices; availability untested.",Medium due to pricing inconsistency,true
T05,Trailblazer Wellness client experience,https://trailblazerwellness.com/,undated,2026-09-12,"US virtual coach; trips in 20+ countries",coach homepage and testimonials,"Reports more than 100 clients prepared; selected testimonials emphasize accountability and confidence.","Company-reported lifetime clients; selected testimonials","Unverified count; paid/free mix and repeat rate unknown; demographic fit unmeasured.",Medium for service-existence signal,true
T06,Adventure Tour Operators services,https://trailblazerwellness.com/tour-operators/,undated,2026-09-12,"US coach and international operators",B2B service page,"Markets trip-specific plans group/individual training and referral programs; identifies AdventureWomen as VIP partner.",One supplier channel description,"Does not verify current contract volume partnership access or sales-cycle length.",Medium,true
T07,Fit For Trips Pricing,https://fitfortrips.com/pricing/,undated,2026-09-12,"US provider; global hiking destinations",training price page,"Public free 12-week three-level solo plan plus paid hybrid/full coaching tiers.",One provider price page,"Homepage now promotes HikeStrong; legacy paid availability unconfirmed; advertised rates not paid demand.",Medium,true
T08,HikeStrong website,https://hikestrongapp.com/,undated,2026-09-12,"US developer; international hikes",app developer website,"Targets particular operator itineraries; adaptive training anywhere; 14-day trial; methodology claims 1000+ historically trained hikers.",One app and historical service claim,"Historical coaching count is not app subscriptions; feature performance and methodology not tested.",High for positioning; low for efficacy,true
T09,HikeStrong Train for Hiking US App Store,https://apps.apple.com/us/app/hikestrong-train-for-hiking/id6771225440,undated,2026-09-12,US storefront,platform listing with developer claims,"USD19.99 monthly USD149.99 annually; iPhone/Watch; AI support and hike-specific plans; tiny rating sample.","Opened page five ratings; search rendering seven ratings and one review","Dynamic snapshots differ; reviewer age geography and purchase unknown; no adoption inference; features untested.",High for listed price; low for demand,"mixed: developer features; user ratings"
T10,Backroads Debuts New Womens Adventures for 2026,https://www.backroads.com/about/media/press-releases/backroads-debuts-new-womens-adventures-2026-just-time-mothers-day,2025-05-07,2026-09-12,"US operator; worldwide tours",company press release,"Reports women booking again during trips and 2025 booking growth; announces 250 departures for 2026.","Company women-only collection; no underlying booking dataset","Not US 45–65 cohort count; announced departures not travelers; travel repeat not prep repeat.",Medium,true
T11,How do I train for my Backroads trip,https://www.backroads.com/faq/how-do-i-train-my-backroads-trip,undated,2026-09-12,"US operator; worldwide trips",free operator FAQ,"Provides simple free conditioning guidance including hills and consecutive activity days.",General operator advice,"Does not measure adherence or readiness; broad guidance could suffice for easier trips.",High for free substitute,true
T12,Preparing Physically for your Road Scholar Program,https://www.roadscholar.org/blog/preparing-physically-for-your-road-scholar-program/,undated,2026-09-12,"US operator; international educational travel",free operator preparation article,"Provides activity-level preparation and exercises including walking.",One general advice article,"Publication date not verified; no completion or outcome data; not a personal exercise recommendation.",High for free substitute,true
T13,REI Co-op and Intrepid Travel introduce active travel trips,https://www.rei.com/newsroom/article/rei-co-op-and-intrepid-travel-introduce-active-travel-trips-for-members-and-customers,2025-11-19,2026-09-12,"US retailer and global operator",company partnership announcement,"January2026 collections combine trips curated packing lists store-staff gear help and eligible gear coupon.","Announced 25+ exclusive and 50+ recommended trips","Announcement not fulfillment audit; no bundle conversion or target-demographic uptake disclosed.",High for announced offer,true
T14,ChatGPT Pricing,https://chatgpt.com/pricing/,undated,2026-09-12,"US-accessible; global",official software pricing page,"Free text conversations and limited uploads create a low-cost document-organization alternative.",Current free-plan feature list,"Substitution is analyst inference; not tested on itineraries; exercise reliability not established.",High for free availability,true
T15,AdventureWomen Our Story,https://adventurewomen.com/our-story/,undated,2026-09-12,"US operator; global trips",company history and owner account,"Owner describes returning customers including second and twenty-second trips.",Qualitative repeat-travel account,"No denominator repeat distribution or preparation payment data; not independently audited.",Medium,true
