"id","title","url","published_date","accessed_date","geography","source_type","claim","sample_or_scope","limitations","confidence","company_reported"
"E01","Census NC-EST2025-AGESEX","https://www2.census.gov/programs-surveys/popest/tables/2020-2025/national/asrh/nc-est2025-agesex.xlsx","2026-06 (directory timestamp 2026-06-25)","2026-09-12","US","government population estimates","July 1 2025 female counts: ages30-59 65148606;45-64 41750741;40-64 52932884","Downloaded xlsx; sheet NC-EST2025-AGESEX column V rows13:18;16:19;15:19 respectively","Age/sex context only; not transitions/buyers; 2025 estimate not 2026; Census female classification is not a full gender-identity measure","High","No"
"E02","Apple Small Business Program","https://developer.apple.com/app-store/small-business-program/","undated current page","2026-09-12","US standard IAP modeled","platform terms","Eligible enrolled developers receive15% commission; effective-date and associated-account conditions apply","Official public program rules","Account eligibility/enrollment not checked; other agreements/storefronts differ","High","Yes"
"E03","Apple receiving payments","https://developer.apple.com/help/app-store-connect/getting-paid/overview-of-receiving-payments/","undated current page","2026-09-12","Apple paid apps","platform terms","Qualifying payments within45days after fiscal month end, subject account requirements","Official payment conditions","Calendar-month lags are modeling approximations; actual fiscal/account dates not obtained","High","Yes"
"E04","Stripe standard pricing","https://stripe.com/pricing","undated current page","2026-09-12","US domestic card standard","vendor pricing","Domestic card2.9%+$0.30 per successful transaction","Public price page","International/FX/custom pricing additional; no actual account checked; no sales tax treatment established","High","Yes"
"E05","Stripe payout timing","https://docs.stripe.com/payouts","undated current page","2026-09-12","US scenario; worldwide terms","vendor documentation","First payout typically7-14days and may take longer; later account schedule and bank timing apply","Public payout docs","No instant settlement assumed; account reserves or delay can dominate December","High","Yes"
"E06","Stripe fees on refunds","https://support.stripe.com/questions/understanding-fees-for-refunded-payments","undated current page","2026-09-12","Standard card fee principle; account-dependent","vendor documentation","Original payment processing fees are not returned on refunds","Public support article; indexed EN-GB localized rendering","Additional refund charges may depend on contract; model retains original fees and should add any account-specific fee","High","Yes"
"E07","OpenAI API standard short-context pricing","https://developers.openai.com/api/docs/pricing","undated current page","2026-09-12","USD API pricing","vendor pricing","Standard text Luna input0.20/output1.20 and Astra10/50 per1M tokens; not batch/flex/fast rates","Standard table specifically checked","Token mix retries images reasoning and capability not validated; per-member budgets remain assumptions","High","Yes"
"E08","FDA General Wellness guidance","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/general-wellness-policy-low-risk-devices","2026-01","2026-09-12","US","government guidance","Healthy-lifestyle scope and disease-related intended use have distinct regulatory treatment","Official guidance landing page","No product classification/legal assessment completed; relevant to expert scope costs","High for stated guidance, not candidate classification","No"
"E09","FTC Health Breach Notification Rule guidance","https://www.ftc.gov/business-guidance/resources/complying-ftcs-health-breach-notification-rule-0","undated; discusses2024amendments","2026-09-12","US","government guidance","Certain health apps outside HIPAA remain covered by health breach notification obligations","Official public guidance","Coverage depends on actual data functions; not completed legal assessment","High for stated guidance, not candidate coverage","No"
"E10","WW current plans and commitment terms","https://www.weightwatchers.com/us/plans","undated current page","2026-09-12","US","vendor pricing","Current table lists Core starting12/month and Core+22/month with12month commitment; Med+25 firstmonth then74/month on12month plan or84 on6month; medicationexcluded","Direct page opened today, table and footnotes inspected","Promotional banner varies; no checkout/account enrollment tested; not month-to-month or app-only clinical pricing; Pvolve full-library upgrade price not verified","High for displayed terms","Yes"
